"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2019","20,593.72","20,453.44","20,686.29","20,438.22","612.83M","-0.14%"
"Jan 22, 2019","20,622.91","20,770.06","20,805.93","20,558.30","588.60M","-0.47%"
"Jan 21, 2019","20,719.33","20,848.38","20,892.68","20,678.26","630.65M","0.26%"
"Jan 18, 2019","20,666.07","20,472.81","20,682.12","20,454.13","666.63M","1.29%"
"Jan 17, 2019","20,402.27","20,544.23","20,571.75","20,342.46","656.18M","-0.20%"
"Jan 16, 2019","20,442.75","20,575.72","20,580.25","20,323.32","716.84M","-0.55%"
"Jan 15, 2019","20,555.29","20,264.82","20,571.28","20,204.43","806.94M","0.96%"
"Jan 11, 2019","20,359.70","20,296.45","20,389.89","20,294.74","801.21M","0.97%"
"Jan 10, 2019","20,163.80","20,270.88","20,345.92","20,101.93","759.63M","-1.29%"
"Jan 09, 2019","20,427.06","20,366.30","20,494.35","20,331.20","750.92M","1.10%"
"Jan 08, 2019","20,204.04","20,224.67","20,347.92","20,106.36","891.35M","0.82%"
"Jan 07, 2019","20,038.97","19,944.61","20,266.22","19,920.80","840.26M","2.44%"
"Jan 04, 2019","19,561.96","19,655.13","19,692.58","19,241.37","943.71M","-2.26%"
"Dec 28, 2018","20,014.77","19,957.88","20,084.38","19,900.04","727.89M","-0.31%"
"Dec 27, 2018","20,077.62","19,706.19","20,211.57","19,701.76","959.03M","3.88%"
"Dec 26, 2018","19,327.06","19,302.59","19,530.35","18,948.58","824.46M","0.89%"
"Dec 25, 2018","19,155.74","19,785.43","19,785.43","19,117.96","978.98M","-5.01%"
"Dec 21, 2018","20,166.19","20,310.50","20,334.73","20,006.67","1.20B","-1.11%"
"Dec 20, 2018","20,392.58","20,779.93","20,841.34","20,282.93","993.35M","-2.84%"
"Dec 19, 2018","20,987.92","21,107.17","21,168.62","20,880.73","838.04M","-0.60%"
"Dec 18, 2018","21,115.45","21,275.51","21,330.36","21,101.44","830.37M","-1.82%"
"Dec 17, 2018","21,506.88","21,391.73","21,563.27","21,363.67","654.13M","0.62%"
"Dec 14, 2018","21,374.83","21,638.96","21,751.31","21,353.94","1.06B","-2.02%"
"Dec 13, 2018","21,816.19","21,755.13","21,871.34","21,675.66","816.71M","0.99%"
"Dec 12, 2018","21,602.75","21,348.40","21,631.47","21,320.72","923.72M","2.15%"
"Dec 11, 2018","21,148.02","21,273.04","21,279.02","21,062.31","902.49M","-0.34%"
"Dec 10, 2018","21,219.50","21,319.47","21,365.78","21,169.96","813.67M","-2.12%"
"Dec 07, 2018","21,678.68","21,643.75","21,734.94","21,506.45","804.62M","0.82%"
"Dec 06, 2018","21,501.62","21,766.50","21,805.02","21,307.72","902.95M","-1.91%"
"Dec 05, 2018","21,919.33","21,755.17","21,979.18","21,708.82","863.01M","-0.53%"
"Dec 04, 2018","22,036.05","22,533.97","22,576.62","22,033.41","924.04M","-2.39%"
"Dec 03, 2018","22,574.76","22,629.39","22,698.79","22,550.29","726.86M","1.00%"
"Nov 30, 2018","22,351.06","22,274.97","22,362.20","22,231.96","1.07B","0.40%"
"Nov 29, 2018","22,262.60","22,360.98","22,437.95","22,241.17","713.88M","0.39%"
"Nov 28, 2018","22,177.02","22,036.72","22,216.98","22,032.72","799.91M","1.02%"
"Nov 27, 2018","21,952.40","21,967.98","22,006.83","21,816.05","763.28M","0.64%"
"Nov 26, 2018","21,812.00","21,647.69","21,838.10","21,622.60","803.88M","0.76%"
"Nov 22, 2018","21,646.55","21,582.47","21,684.64","21,484.98","678.57M","0.65%"
"Nov 21, 2018","21,507.54","21,286.81","21,555.61","21,243.38","796.62M","-0.35%"
"Nov 20, 2018","21,583.12","21,582.69","21,687.12","21,526.95","851.49M","-1.09%"
"Nov 19, 2018","21,821.16","21,679.03","21,852.92","21,665.29","742.80M","0.65%"
"Nov 16, 2018","21,680.34","21,804.90","21,873.74","21,663.99","772.03M","-0.57%"
"Nov 15, 2018","21,803.62","21,670.35","21,818.73","21,613.53","838.96M","-0.20%"
"Nov 14, 2018","21,846.48","21,851.13","21,990.41","21,764.88","775.39M","0.16%"
"Nov 13, 2018","21,810.52","21,885.24","21,892.29","21,484.65","883.90M","-2.06%"
"Nov 12, 2018","22,269.88","22,121.70","22,324.01","22,046.29","610.75M","0.09%"
"Nov 09, 2018","22,250.25","22,471.31","22,494.58","22,226.01","805.03M","-1.05%"
"Nov 08, 2018","22,486.92","22,446.01","22,583.43","22,421.00","844.09M","1.82%"
"Nov 07, 2018","22,085.80","22,189.74","22,444.65","21,996.94","993.18M","-0.28%"
"Nov 06, 2018","22,147.75","22,018.87","22,160.83","21,994.28","749.27M","1.14%"
"Nov 05, 2018","21,898.99","22,002.47","22,051.65","21,865.98","810.71M","-1.55%"
"Nov 02, 2018","22,243.66","21,761.58","22,308.42","21,751.33","1.05B","2.56%"
"Nov 01, 2018","21,687.65","21,906.41","21,906.41","21,628.45","1.05B","-1.06%"
"Oct 31, 2018","21,920.46","21,569.56","21,920.46","21,530.39","1.08B","2.16%"
"Oct 30, 2018","21,457.29","21,049.52","21,568.40","21,035.88","1.21B","1.45%"
"Oct 29, 2018","21,149.80","21,323.61","21,465.99","21,109.97","730.17M","-0.16%"
"Oct 26, 2018","21,184.60","21,440.84","21,476.66","20,971.93","958.10M","-0.40%"
