Date,Price,Open,High,Low,Vol.,Change %
"Nov 19, 2018","7,000.89","7,013.88","7,070.46","6,997.83",800.44M,-0.19%
"Nov 16, 2018","7,013.88","7,038.01","7,092.44","6,968.99",1.04B,-0.34%
"Nov 15, 2018","7,038.01","7,033.79","7,081.88","6,979.57",1.29B,0.06%
"Nov 14, 2018","7,033.79","7,053.76","7,113.59","6,979.68",953.79M,-0.28%
"Nov 13, 2018","7,053.76","7,053.08","7,103.97","7,016.64",1.08B,0.01%
"Nov 12, 2018","7,053.08","7,105.34","7,186.31","7,053.08",730.62M,-0.74%
"Nov 09, 2018","7,105.34","7,140.68","7,140.68","7,070.80",672.89M,-0.49%
"Nov 08, 2018","7,140.68","7,117.28","7,171.69","7,115.01",697.80M,0.33%
"Nov 07, 2018","7,117.28","7,040.68","7,136.75","7,040.68",698.98M,1.09%
"Nov 06, 2018","7,040.68","7,103.84","7,117.50","7,027.45",666.52M,-0.89%
"Nov 05, 2018","7,103.84","7,094.12","7,140.37","7,077.40",570.49M,0.14%
"Nov 02, 2018","7,094.12","7,114.66","7,196.39","7,094.12",824.95M,-0.29%
"Nov 01, 2018","7,114.66","7,128.10","7,165.61","7,085.74",1.06B,-0.19%
"Oct 31, 2018","7,128.10","7,035.85","7,161.54","7,035.85",923.08M,1.31%
"Oct 30, 2018","7,035.85","7,026.32","7,060.06","6,983.68",774.72M,0.14%
"Oct 29, 2018","7,026.32","6,939.56","7,085.88","6,939.56",804.71M,1.25%
"Oct 26, 2018","6,939.56","7,004.10","7,004.16","6,851.59",803.06M,-0.92%
"Oct 25, 2018","7,004.10","6,962.98","7,004.10","6,885.99",853.93M,0.59%
"Oct 24, 2018","6,962.98","6,955.21","7,049.83","6,955.21",797.99M,0.11%
"Oct 23, 2018","6,955.21","7,042.80","7,042.80","6,928.65",1.01B,-1.24%
"Oct 22, 2018","7,042.80","7,049.80","7,114.12","7,042.05",806.70M,-0.10%
"Oct 19, 2018","7,049.80","7,026.99","7,070.38","7,012.56",800.35M,0.32%
"Oct 18, 2018","7,026.99","7,054.60","7,078.76","7,026.74",692.86M,-0.39%
"Oct 17, 2018","7,054.60","7,059.40","7,089.03","7,019.41",707.14M,-0.07%
"Oct 16, 2018","7,059.40","7,029.22","7,062.08","6,998.93",786.10M,0.43%
"Oct 15, 2018","7,029.22","6,995.91","7,038.23","6,961.28",674.96M,0.48%
"Oct 12, 2018","6,995.91","7,006.93","7,073.99","6,994.78",903.68M,-0.16%
"Oct 11, 2018","7,006.93","7,145.74","7,145.74","6,998.02",1.21B,-1.94%
"Oct 10, 2018","7,145.74","7,237.59","7,242.31","7,145.74",1.06B,-1.27%
"Oct 09, 2018","7,237.59","7,233.33","7,247.64","7,184.28",789.69M,0.06%
"Oct 08, 2018","7,233.33","7,318.54","7,319.84","7,233.33",695.80M,-1.16%
"Oct 05, 2018","7,318.54","7,418.34","7,421.12","7,318.54",758.63M,-1.35%
"Oct 04, 2018","7,418.34","7,510.28","7,510.28","7,411.31",826.76M,-1.22%
"Oct 03, 2018","7,510.28","7,474.55","7,524.06","7,474.55",849.12M,0.48%
"Oct 02, 2018","7,474.55","7,495.67","7,495.67","7,444.80",843.12M,-0.28%
"Oct 01, 2018","7,495.67","7,510.20","7,526.20","7,466.67",746.18M,-0.19%
"Sep 28, 2018","7,510.20","7,545.44","7,548.36","7,474.67",943.92M,-0.47%
"Sep 27, 2018","7,545.44","7,511.49","7,552.02","7,490.94",666.22M,0.45%
"Sep 26, 2018","7,511.49","7,507.56","7,522.06","7,490.20",693.15M,0.05%
"Sep 25, 2018","7,507.56","7,458.41","7,515.94","7,455.22",791.70M,0.66%
"Sep 24, 2018","7,458.41","7,490.23","7,491.25","7,450.53",710.21M,-0.42%
"Sep 21, 2018","7,490.23","7,367.32","7,495.26","7,367.32",1.55B,1.67%
"Sep 20, 2018","7,367.32","7,331.12","7,368.43","7,324.01",891.66M,0.49%
"Sep 19, 2018","7,331.12","7,300.23","7,346.11","7,279.92",785.95M,0.42%
"Sep 18, 2018","7,300.23","7,302.10","7,320.07","7,281.98",722.03M,-0.03%
"Sep 17, 2018","7,302.10","7,304.04","7,318.77","7,267.83",640.19M,-0.03%
"Sep 14, 2018","7,304.04","7,281.57","7,323.83","7,281.57",595.14M,0.31%
"Sep 13, 2018","7,281.57","7,313.36","7,319.57","7,275.14",681.15M,-0.43%
"Sep 12, 2018","7,313.36","7,273.54","7,325.25","7,250.84",698.11M,0.55%
"Sep 11, 2018","7,273.54","7,279.30","7,280.48","7,220.50",664.03M,-0.08%
"Sep 10, 2018","7,279.30","7,277.70","7,307.85","7,256.51",717.86M,0.02%
"Sep 07, 2018","7,277.70","7,318.96","7,328.30","7,227.07",889.09M,-0.56%
"Sep 06, 2018","7,318.96","7,383.28","7,397.74","7,313.12",743.69M,-0.87%
"Sep 05, 2018","7,383.28","7,457.86","7,457.86","7,357.98",792.99M,-1.00%
"Sep 04, 2018","7,457.86","7,504.60","7,535.12","7,437.65",672.99M,-0.62%
"Sep 03, 2018","7,504.60","7,432.42","7,516.06","7,432.18",468.85M,0.97%
"Aug 31, 2018","7,432.42","7,516.03","7,516.46","7,428.67",838.07M,-1.11%
"Aug 30, 2018","7,516.03","7,563.21","7,563.21","7,497.54",642.44M,-0.62%
"Aug 29, 2018","7,563.21","7,617.22","7,635.74","7,545.08",709.98M,-0.71%
"Aug 28, 2018","7,617.22","7,577.49","7,636.72","7,577.49",603.83M,0.52%
"Aug 24, 2018","7,577.49","7,563.22","7,587.19","7,557.67",523.57M,0.19%
"Aug 23, 2018","7,563.22","7,574.24","7,602.10","7,560.85",592.64M,-0.15%
"Aug 22, 2018","7,574.24","7,565.70","7,607.23","7,531.24",630.16M,0.11%
"Aug 21, 2018","7,565.70","7,591.26","7,601.65","7,557.34",560.35M,-0.34%
"Aug 20, 2018","7,591.26","7,558.59","7,616.15","7,558.59",576.84M,0.43%
"Aug 17, 2018","7,558.59","7,556.38","7,577.68","7,514.26",621.37M,0.03%
"Aug 16, 2018","7,556.38","7,497.87","7,565.18","7,497.87",795.28M,0.78%
"Aug 15, 2018","7,497.87","7,611.64","7,632.07","7,477.05",994.26M,-1.49%
"Aug 14, 2018","7,611.64","7,642.45","7,665.24","7,599.66",787.26M,-0.40%
"Aug 13, 2018","7,642.45","7,667.01","7,667.33","7,614.48",612.15M,-0.32%
"Aug 10, 2018","7,667.01","7,741.77","7,741.77","7,657.72",684.69M,-0.97%
"Aug 09, 2018","7,741.77","7,776.65","7,776.77","7,714.52",582.94M,-0.45%
"Aug 08, 2018","7,776.65","7,718.48","7,790.17","7,707.30",621.15M,0.75%
"Aug 07, 2018","7,718.48","7,663.78","7,752.08","7,663.20",696.34M,0.71%
"Aug 06, 2018","7,663.78","7,659.10","7,681.86","7,636.60",838.43M,0.06%
"Aug 03, 2018","7,659.10","7,575.93","7,665.16","7,575.93",670.04M,1.10%
"Aug 02, 2018","7,575.93","7,652.91","7,652.91","7,549.34",1.04B,-1.01%
"Aug 01, 2018","7,652.91","7,748.76","7,751.10","7,634.66",1.01B,-1.24%
"Jul 31, 2018","7,748.76","7,700.85","7,782.90","7,695.76",943.37M,0.62%
"Jul 30, 2018","7,700.85","7,701.31","7,718.06","7,659.91",755.66M,-0.01%
"Jul 27, 2018","7,701.31","7,663.17","7,717.22","7,663.16",788.38M,0.50%
"Jul 26, 2018","7,663.17","7,658.26","7,684.72","7,640.94",607.06M,0.06%
"Jul 25, 2018","7,658.26","7,709.05","7,710.25","7,640.59",698.48M,-0.66%
"Jul 24, 2018","7,709.05","7,655.79","7,740.64","7,648.59",878.89M,0.70%
"Jul 23, 2018","7,655.79","7,678.79","7,678.79","7,621.75",591.25M,-0.30%
"Jul 20, 2018","7,678.79","7,683.97","7,705.80","7,631.66",706.25M,-0.07%
"Jul 19, 2018","7,683.97","7,676.28","7,702.85","7,660.02",716.90M,0.10%
"Jul 18, 2018","7,676.28","7,626.33","7,685.68","7,625.75",671.52M,0.65%
"Jul 17, 2018","7,626.33","7,600.45","7,641.10","7,581.83",746.77M,0.34%
"Jul 16, 2018","7,600.45","7,661.87","7,667.71","7,564.96",608.96M,-0.80%
"Jul 13, 2018","7,661.87","7,651.33","7,716.24","7,651.33",592.17M,0.14%
"Jul 12, 2018","7,651.33","7,591.96","7,662.96","7,591.96",769.26M,0.78%
"Jul 11, 2018","7,591.96","7,692.04","7,692.04","7,578.18",816.82M,-1.30%
"Jul 10, 2018","7,692.04","7,687.99","7,715.07","7,677.06",723.21M,0.05%
"Jul 09, 2018","7,687.99","7,617.70","7,697.46","7,617.70",697.51M,0.92%
"Jul 06, 2018","7,617.70","7,603.22","7,631.19","7,569.70",684.00M,0.19%
"Jul 05, 2018","7,603.22","7,573.09","7,624.82","7,572.69",631.12M,0.40%
"Jul 04, 2018","7,573.09","7,593.29","7,593.29","7,560.81",591.92M,-0.27%
