"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 14, 2018","12,659.94","12,527.48","12,707.64","12,492.34","-","1.06%"
"Sep 13, 2018","12,527.48","12,596.27","12,646.20","12,496.02","-","-0.54%"
"Sep 12, 2018","12,596.06","12,519.68","12,691.10","12,488.73","-","0.64%"
"Sep 11, 2018","12,515.59","12,813.78","12,813.78","12,450.44","-","-2.33%"
"Sep 10, 2018","12,813.64","12,806.59","12,954.93","12,758.33","-","0.06%"
"Sep 06, 2018","12,806.59","12,585.37","12,827.37","12,567.23","-","1.77%"
"Sep 05, 2018","12,584.31","12,517.05","12,629.48","12,443.57","-","0.54%"
"Sep 04, 2018","12,516.99","12,768.91","12,768.91","12,498.19","-","-1.97%"
"Sep 03, 2018","12,768.76","12,847.64","12,847.64","12,688.48","-","-0.62%"
"Aug 31, 2018","12,848.00","12,803.77","12,941.14","12,742.94","-","0.32%"
"Aug 30, 2018","12,807.05","13,144.83","13,144.83","12,803.23","-","-2.57%"
"Aug 29, 2018","13,144.83","12,988.60","13,213.90","12,974.55","-","1.20%"
"Aug 28, 2018","12,988.84","13,069.12","13,090.87","12,935.57","-","-0.61%"
"Aug 27, 2018","13,068.16","12,790.28","13,080.06","12,790.28","-","2.18%"
"Aug 24, 2018","12,789.92","12,680.11","12,848.16","12,680.11","-","0.89%"
"Aug 23, 2018","12,677.70","12,885.70","12,940.30","12,649.80","-","-1.62%"
"Aug 22, 2018","12,886.43","12,594.02","12,886.87","12,548.26","-","2.31%"
"Aug 21, 2018","12,595.63","12,770.41","12,781.41","12,545.68","-","-1.42%"
"Aug 20, 2018","12,776.57","12,725.48","12,807.05","12,662.01","-","0.40%"
"Aug 17, 2018","12,726.13","12,850.65","12,850.65","12,659.95","-","-0.97%"
"Aug 16, 2018","12,850.99","12,900.96","12,999.96","12,778.63","-","-0.38%"
"Aug 15, 2018","12,899.63","13,167.20","13,168.78","12,865.19","-","-2.02%"
"Aug 14, 2018","13,165.18","12,984.45","13,188.51","12,984.45","-","1.39%"
"Aug 13, 2018","12,984.07","12,821.71","13,018.57","12,724.50","-","1.26%"
"Aug 10, 2018","12,821.95","13,193.81","13,193.81","12,738.29","-","-2.82%"
"Aug 09, 2018","13,194.55","13,257.66","13,306.65","13,089.46","-","-0.45%"
"Aug 08, 2018","13,254.28","13,456.63","13,555.33","13,226.49","-","-1.50%"
"Aug 07, 2018","13,456.63","13,577.31","13,688.79","13,380.77","-","-0.82%"
"Aug 06, 2018","13,568.56","13,633.60","13,687.71","13,556.12","-","-0.46%"
"Aug 03, 2018","13,631.89","13,331.94","13,695.53","13,331.94","-","2.28%"
"Aug 02, 2018","13,328.56","13,253.63","13,372.84","13,141.66","-","0.48%"
"Aug 01, 2018","13,265.43","13,254.42","13,337.29","13,177.40","-","0.07%"
"Jul 31, 2018","13,255.74","13,439.51","13,439.51","13,217.60","-","-1.36%"
"Jul 30, 2018","13,438.85","13,369.49","13,476.06","13,338.45","-","0.52%"
"Jul 27, 2018","13,369.03","13,282.05","13,431.27","13,282.05","-","0.65%"
"Jul 26, 2018","13,282.05","13,411.78","13,477.30","13,231.49","-","-0.94%"
"Jul 25, 2018","13,407.45","13,230.60","13,444.02","13,230.60","-","1.34%"
"Jul 24, 2018","13,230.77","13,038.09","13,288.54","13,038.09","-","1.49%"
"Jul 23, 2018","13,036.49","13,131.98","13,145.37","13,016.43","-","-0.73%"
"Jul 20, 2018","13,131.98","12,954.91","13,279.97","12,954.60","-","1.38%"
"Jul 19, 2018","12,952.63","12,930.85","12,952.63","12,685.03","-","0.16%"
"Jul 18, 2018","12,931.35","13,066.41","13,125.39","12,898.90","-","-1.04%"
"Jul 17, 2018","13,067.61","12,819.08","13,133.65","12,790.29","-","1.94%"
"Jul 16, 2018","12,819.36","12,815.95","12,864.81","12,729.79","-","0.02%"
"Jul 13, 2018","12,817.40","12,695.55","12,832.01","12,643.01","-","0.96%"
"Jul 12, 2018","12,695.55","12,447.47","12,703.95","12,447.47","-","2.00%"
"Jul 11, 2018","12,446.68","12,524.82","12,549.96","12,409.28","-","-0.62%"
"Jul 10, 2018","12,524.82","12,552.34","12,705.06","12,454.94","-","-0.21%"
"Jul 06, 2018","12,551.51","12,473.36","12,564.40","12,391.66","-","0.63%"
"Jul 05, 2018","12,472.55","12,502.75","12,564.41","12,337.50","-","-0.23%"
"Jul 04, 2018","12,501.35","12,324.72","12,528.91","12,280.05","-","1.43%"
"Jul 03, 2018","12,324.78","12,194.48","12,469.95","12,194.48","-","1.08%"
"Jul 02, 2018","12,193.04","12,170.73","12,193.04","12,035.32","-","0.18%"
"Jun 29, 2018","12,170.73","12,005.50","12,218.22","12,005.50","-","1.40%"
"Jun 28, 2018","12,002.88","11,810.68","12,060.72","11,776.89","-","1.62%"
"Jun 27, 2018","11,811.61","11,936.34","12,050.69","11,732.32","-","-1.04%"
"Jun 26, 2018","11,936.22","11,862.78","11,973.45","11,730.99","-","0.64%"
"Jun 25, 2018","11,860.09","11,807.40","11,917.59","11,655.58","-","0.45%"
"Jun 22, 2018","11,807.17","11,714.88","11,884.98","11,688.96","-","0.79%"
"Jun 21, 2018","11,714.59","12,061.93","12,078.73","11,705.94","-","-2.89%"
"Jun 20, 2018","12,063.01","11,937.92","12,144.54","11,896.66","-","1.05%"
"Jun 19, 2018","11,937.49","11,672.97","12,044.06","11,544.49","-","2.26%"
"Jun 18, 2018","11,673.57","11,829.54","11,829.54","11,599.05","-","-1.34%"
"Jun 15, 2018","11,831.97","11,948.55","11,948.55","11,629.20","-","-0.98%"
"Jun 14, 2018","11,948.55","12,065.68","12,157.29","11,934.05","-","-0.92%"
"Jun 13, 2018","12,059.60","12,172.07","12,208.19","11,877.19","-","-0.92%"
"Jun 12, 2018","12,171.59","12,089.22","12,265.13","12,058.48","-","0.68%"
"Jun 11, 2018","12,089.89","12,192.46","12,324.27","12,011.60","-","-0.84%"
"Jun 08, 2018","12,192.38","12,366.77","12,394.50","11,994.06","-","-1.42%"
"Jun 07, 2018","12,367.41","12,743.68","12,743.68","11,923.95","-","-2.96%"
"Jun 06, 2018","12,744.96","12,820.78","12,880.64","12,638.33","-","-0.59%"
"Jun 05, 2018","12,820.90","13,137.01","13,196.76","12,784.27","-","-2.41%"
"Jun 04, 2018","13,137.54","12,906.38","13,146.95","12,906.38","-","1.80%"
"Jun 01, 2018","12,905.64","12,856.49","13,091.97","12,610.01","-","0.42%"
"May 30, 2018","12,851.91","12,737.96","12,910.65","12,643.54","-","0.89%"
"May 29, 2018","12,737.96","12,601.60","12,924.70","12,601.60","-","1.09%"
"May 28, 2018","12,600.67","13,198.33","13,198.33","12,598.39","-","-4.54%"
"May 25, 2018","13,200.32","13,410.77","13,504.38","13,155.18","-","-1.57%"
"May 24, 2018","13,410.77","13,562.29","13,562.29","13,232.40","-","-1.13%"
"May 23, 2018","13,563.62","13,880.96","13,880.96","13,563.62","-","-2.28%"
"May 22, 2018","13,880.49","13,743.40","13,994.71","13,697.50","-","1.00%"
"May 21, 2018","13,742.45","13,966.48","14,101.96","13,704.90","-","-1.59%"
"May 18, 2018","13,964.08","14,054.65","14,054.65","13,682.74","-","-0.65%"
"May 17, 2018","14,056.13","14,550.06","14,550.06","14,010.80","-","-3.40%"
"May 16, 2018","14,550.31","14,314.31","14,582.56","14,306.36","-","1.64%"
"May 15, 2018","14,315.87","14,326.14","14,332.89","14,097.78","-","-0.08%"
"May 14, 2018","14,327.45","14,302.79","14,465.50","14,234.48","-","0.20%"
"May 11, 2018","14,299.33","14,405.18","14,509.94","14,293.34","-","-0.74%"
"May 10, 2018","14,405.58","14,143.34","14,465.93","14,143.34","-","1.88%"
"May 09, 2018","14,140.07","13,901.82","14,170.05","13,889.05","-","1.74%"
"May 08, 2018","13,898.01","13,851.75","13,976.27","13,774.22","-","0.33%"
"May 07, 2018","13,851.75","13,905.84","14,004.26","13,833.35","-","-0.38%"
"May 04, 2018","13,905.08","13,937.36","14,000.03","13,845.03","-","-0.23%"
"May 03, 2018","13,937.66","14,151.98","14,153.07","13,912.40","-","-1.52%"
"May 02, 2018","14,152.64","14,419.81","14,419.81","14,125.56","-","-1.86%"
"Apr 30, 2018","14,420.63","14,475.02","14,526.17","14,397.82","-","-0.38%"
"Apr 27, 2018","14,475.36","14,467.45","14,603.89","14,446.09","-","0.05%"
"Apr 26, 2018","14,467.45","14,252.31","14,469.12","14,252.31","-","1.52%"
"Apr 25, 2018","14,250.71","14,318.34","14,318.34","14,130.46","-","-0.48%"
"Apr 24, 2018","14,318.89","14,344.17","14,506.72","14,260.07","-","-0.17%"
"Apr 23, 2018","14,343.83","14,325.88","14,362.00","14,188.05","-","0.09%"
"Apr 20, 2018","14,331.05","14,381.69","14,382.47","14,246.28","-","-0.35%"
"Apr 19, 2018","14,381.88","14,378.34","14,425.28","14,274.36","-","0.02%"
"Apr 18, 2018","14,378.63","14,084.50","14,437.23","14,084.50","-","2.10%"
"Apr 17, 2018","14,083.47","13,879.80","14,102.82","13,867.21","-","1.47%"
"Apr 16, 2018","13,878.78","14,130.14","14,174.55","13,862.47","-","-1.79%"
"Apr 13, 2018","14,131.57","14,321.07","14,321.07","14,102.35","-","-1.33%"
"Apr 12, 2018","14,321.50","14,299.25","14,346.66","14,253.57","-","0.16%"
"Apr 11, 2018","14,299.25","14,169.64","14,330.51","14,145.03","-","0.89%"
